accelerometer,,,
Timestamp (ms),x (m/s^2),y-acc (m/s^2),z-acc(m/s^2)
1485644719724,0.0029296875,-0.8535156,-0.55126953
1485644719729,0.0234375,-0.86816406,-0.5683594
1485644719734,0.041992188,-0.8339844,-0.578125
1485644719739,0.060058594,-0.8041992,-0.5625
1485644719743,0.075683594,-0.7841797,-0.5161133
1485644719749,0.100097656,-0.7636719,-0.42919922
1485644719753,0.115234375,-0.71777344,-0.38085938
1485644719759,0.1430664,-0.67529297,-0.3388672
1485644719764,0.1772461,-0.61572266,-0.2919922
1485644719770,0.20361328,-0.6040039,-0.25878906
1485644719774,0.20605469,-0.6875,-0.23876953
1485644719778,0.15771484,-0.7763672,-0.21777344
1485644719784,0.080078125,-0.83251953,-0.20654297
1485644719789,0.030273438,-0.86376953,-0.20654297
1485644719794,0.0073242188,-0.8676758,-0.21386719
1485644719799,9.77E-04,-0.890625,-0.23486328
1485644719803,0.0024414063,-0.9345703,-0.22753906
1485644719809,-0.0107421875,-0.95166016,-0.24853516
1485644719814,-0.017578125,-0.9433594,-0.26611328
1485644719819,0.0034179688,-0.90966797,-0.28173828
1485644719825,0.040039063,-0.89404297,-0.28808594
1485644719830,0.06542969,-0.88134766,-0.30810547
1485644719834,0.08251953,-0.8833008,-0.31640625
1485644719838,0.080078125,-0.8857422,-0.31591797
1485644719844,0.0859375,-0.88623047,-0.3203125
1485644719849,0.08886719,-0.8828125,-0.3256836
1485644719855,0.099121094,-0.86572266,-0.31445313
1485644719859,0.1171875,-0.86328125,-0.31591797
1485644719865,0.13134766,-0.86816406,-0.3095703
1485644719869,0.14013672,-0.8676758,-0.28857422
1485644719874,0.13476563,-0.8496094,-0.26123047
1485644719879,0.12548828,-0.86279297,-0.24609375
1485644719884,0.118652344,-0.87158203,-0.22802734
1485644719890,0.104003906,-0.8730469,-0.20166016
1485644719894,0.106933594,-0.88183594,-0.19384766
1485644719898,0.1171875,-0.8876953,-0.18847656
1485644719904,0.10253906,-0.8901367,-0.1772461
1485644719909,0.09765625,-0.89941406,-0.13720703
