gyroscope,,,
Timestamp (ms),x-gyro (deg/s),y-gyro (deg/s),z-gyro (deg/s)
1485644719919,10.914635,-7.5609756,-14.817074
1485644719925,13.963415,-9.268292,-13.902439
1485644719929,17.012196,-11.036586,-12.865854
1485644719935,20.792683,-12.5,-12.073171
1485644719940,24.146341,-14.085366,-11.585366
1485644719944,27.439026,-15.731708,-11.463415
1485644719950,30.54878,-17.073172,-11.402439
1485644719954,33.719513,-18.658537,-11.829268
1485644719960,36.585365,-20.182928,-12.073171
1485644719964,39.512196,-21.646341,-11.8902445
1485644719972,42.19512,-23.109756,-11.280488
1485644719975,44.634148,-25,-10.487805
1485644719981,45.914635,-27.012196,-8.597561
1485644719985,47.2561,-28.04878,-6.402439
1485644719989,47.621952,-28.841465,-4.5731707
1485644719995,47.682926,-29.390245,-4.085366
1485644720000,47.621952,-29.573172,-5.0609756
1485644720004,47.80488,-30.304878,-7.865854
1485644720010,47.80488,-31.158537,-11.829268
1485644720014,46.585365,-31.95122,-14.329268
1485644720020,44.69512,-31.707317,-15.609756
1485644720024,41.95122,-31.341465,-15.914635
1485644720030,39.573174,-30.670732,-16.524391
1485644720035,38.170734,-30.243902,-17.317074
1485644720039,37.987804,-30.487806,-16.646341
1485644720045,38.65854,-32.560978,-15.060976
1485644720049,39.69512,-35.060978,-11.707317
1485644720055,40.97561,-36.890244,-8.47561
1485644720060,42.012196,-38.719513,-5
1485644720064,42.621952,-41.40244,-2.804878
1485644720070,41.707317,-43.963417,-1.8292683
1485644720076,38.536587,-42.743904,-2.5609756
1485644720080,32.80488,-38.414635,-3.7804878
1485644720085,26.09756,-34.878048,-3.7804878
1485644720090,21.158537,-32.2561,-5.609756
1485644720095,22.012196,-32.80488,-8.719512
1485644720099,28.109756,-35.365856,-11.158537
1485644720105,35.670734,-36.890244,-13.109756
1485644720111,43.414635,-37.682926,-15.243903
1485644720115,49.207317,-40.609756,-16.341463
1485644720120,54.939026,-43.65854,-16.09756
1485644720127,59.02439,-46.768295,-15
1485644720130,62.560978,-48.048782,-12.926829
1485644720134,63.963417,-48.536587,-10.609756
1485644720140,64.756096,-49.146343,-7.682927
1485644720145,63.170734,-47.621952,-4.756098
1485644720150,56.463417,-45.73171,-1.9512196
1485644720155,49.512196,-41.768295,1.5853659
1485644720159,41.09756,-38.90244,4.8170733
1485644720165,33.47561,-35.609756,7.3170733
1485644720169,27.804878,-32.07317,9.634147
1485644720175,25.914635,-29.207317,11.219512
1485644720180,24.939026,-28.414635,11.646341
1485644720184,26.524391,-28.170732,11.707317
1485644720190,27.317074,-28.04878,11.768293
1485644720194,29.512196,-27.865854,12.134147
1485644720200,32.682926,-29.45122,12.5
1485644720205,36.09756,-31.219513,12.5
1485644720211,40.548782,-31.09756,11.646341
1485644720215,42.682926,-31.707317,10.97561
1485644720219,43.719513,-31.82927,11.646341
1485644720225,42.682926,-31.09756,12.256098
1485644720230,40.85366,-29.634148,12.256098
1485644720235,38.109756,-27.987806,11.8902445
1485644720240,33.780487,-25.97561,11.829268
1485644720246,30.060976,-22.682928,11.341464
