accelerometer ,,,
Timestamp (ms), x (m/s^2), y-acc (m/s^2), z-acc(m/s^2) 
1485644719638,0.061523438,1.0073242,0.21679688
1485644719641,0.059570313,1.0258789,0.21777344
1485644719645,0.053710938,1.0327148,0.17480469
1485644719651,0.05078125,1.0356445,0.1381836
1485644719656,0.055664063,1.0307617,0.123046875
1485644719662,0.0625,1.0336914,0.095703125
1485644719666,0.06738281,1.0380859,0.111328125
1485644719672,0.071777344,1.0332031,0.14794922
1485644719676,0.095214844,1.019043,0.123535156
1485644719682,0.10644531,1.0112305,0.111328125
1485644719686,0.10595703,1.0068359,0.10595703
1485644719694,0.1015625,1.0195313,0.09765625
1485644719697,0.09277344,1.0332031,0.15478516
1485644719701,0.083496094,1.0507813,0.19140625
1485644719707,0.07910156,1.0458984,0.1821289
1485644719711,0.08935547,1.03125,0.16601563
1485644719717,0.10498047,1.0678711,0.13720703
1485644719722,0.09033203,1.0634766,0.1015625
1485644719726,0.08300781,1.0488281,0.07128906
1485644719732,0.10107422,1.0532227,0.030761719
1485644719736,0.09765625,1.0449219,-0.0034179688
1485644719742,0.11035156,1.0083008,-0.020019531
1485644719746,0.11767578,1.0151367,-0.037597656
1485644719752,0.13720703,1.0063477,-0.05810547
1485644719757,0.1538086,0.9472656,-0.068359375
1485644719761,0.17773438,0.9243164,-0.07080078
1485644719767,0.1821289,0.9370117,-0.06591797
1485644719771,0.20361328,0.9379883,-0.05859375
1485644719777,0.18701172,0.9663086,-0.05810547
1485644719783,0.18701172,0.96435547,-0.053222656
1485644719788,0.19824219,0.8886719,-0.051757813
1485644719792,0.23583984,0.9008789,-0.043945313
1485644719796,0.2265625,0.921875,-0.03466797
1485644719802,0.15771484,0.98046875,-0.029296875
1485644719807,0.095214844,1.0488281,-0.036621094
1485644719812,0.08300781,1.003418,-0.041503906
1485644719817,0.110839844,0.9609375,-0.04345703
1485644719823,0.14160156,0.97216797,-0.049316406
1485644719827,0.123046875,0.99072266,-0.059570313
1485644719833,0.08691406,1.019043,-0.067871094
1485644719839,0.046875,1.0375977,-0.067871094
1485644719842,0.032714844,1.0639648,-0.079589844
1485644719849,0.017089844,1.0883789,-0.087402344
1485644719852,-0.0063476563,1.1030273,-0.092285156
1485644719858,-0.015625,1.1035156,-0.11230469
1485644719862,0.0034179688,1.0976563,-0.12402344
1485644719867,0.023925781,1.0795898,-0.13134766
1485644719872,0.041503906,1.0478516,-0.1508789
1485644719877,0.064453125,1.0200195,-0.1694336
1485644719883,0.091796875,0.9814453,-0.171875
1485644719887,0.11621094,0.94677734,-0.15966797
1485644719893,0.1430664,0.921875,-0.15136719
1485644719897,0.16894531,0.9033203,-0.1616211
1485644719902,0.19482422,0.88623047,-0.1772461
1485644719908,0.2006836,0.875,-0.17285156
1485644719912,0.2006836,0.8671875,-0.1538086
1485644719918,0.1928711,0.86621094,-0.15429688
1485644719922,0.18310547,0.8769531,-0.15722656
1485644719928,0.17041016,0.8857422,-0.14404297
1485644719933,0.15673828,0.8984375,-0.13378906
1485644719937,0.14355469,0.91064453,-0.16308594
1485644719943,0.13720703,0.9223633,-0.15966797
1485644719947,0.1352539,0.9248047,-0.092285156
1485644719953,0.12548828,0.93115234,-0.022949219
1485644719957,0.115722656,0.9472656,0.0078125
1485644719963,0.09033203,0.9682617,0.009277344
1485644719968,0.064941406,0.9838867,-0.040039063
1485644719974,0.056152344,1.0029297,-0.024414063
1485644719978,0.04638672,1.0117188,-0.0234375
1485644719985,0.024902344,1.0141602,-0.068359375
1485644719988,0.040527344,1.0141602,-0.104003906
1485644719993,0.05419922,1.034668,-0.115234375
1485644719998,0.033691406,1.0556641,-0.12597656
1485644720003,0.020507813,1.0297852,-0.14746094
1485644720009,0.055664063,0.9760742,-0.16455078
1485644720013,0.12646484,0.9301758,-0.17626953
1485644720017,0.15332031,0.9213867,-0.17138672
1485644720023,0.14111328,0.91845703,-0.13964844
1485644720028,0.13378906,0.8911133,-0.09814453
1485644720035,0.16503906,0.8623047,-0.08984375
1485644720038,0.2006836,0.8417969,-0.05078125
1485644720044,0.2006836,0.83251953,0.045410156
1485644720048,0.14746094,0.91748047,0.056640625
