gyroscope ,,,
Timestamp (ms) , x-gyro (deg/s), y-gyro (deg/s), z-gyro (deg/s) 
1485644719834,22.37805,14.695123,-11.95122
1485644719840,20.121952,12.804878,-12.621951
1485644719843,17.682928,10.853659,-13.109756
1485644719849,15.426829,9.268292,-13.719513
1485644719852,13.292684,8.109756,-14.085366
1485644719858,11.8902445,7.256098,-14.02439
1485644719862,11.097561,7.1341467,-13.963415
1485644719868,11.341464,7.865854,-13.719513
1485644719872,12.621951,8.963415,-13.292684
1485644719878,14.02439,10.609756,-13.170732
1485644719883,15.792684,12.682927,-13.170732
1485644719887,18.170732,15.365854,-12.682927
1485644719893,20.914635,18.04878,-11.768293
1485644719897,24.024391,20.792683,-11.402439
1485644719903,26.890245,23.47561,-11.95122
1485644719908,29.573172,25.914635,-13.170732
1485644719913,31.890245,28.109756,-13.841464
1485644719918,34.02439,29.817074,-14.634147
1485644719922,35.487804,31.280489,-15.914635
1485644719928,36.585365,32.682926,-17.621952
1485644719933,37.865856,33.841465,-20.182928
1485644719938,38.90244,35,-21.158537
1485644719943,39.390244,36.036587,-20.54878
1485644719949,39.390244,36.463417,-19.390244
1485644719953,38.963417,36.219513,-18.231709
1485644719957,37.621952,35.609756,-18.841463
1485644719963,36.341465,35,-20.914635
1485644719968,34.817074,33.841465,-24.512196
1485644719974,32.621952,32.621952,-28.04878
1485644719979,29.390245,31.341465,-28.47561
1485644719985,25.792683,29.45122,-27.256098
1485644719988,23.292683,27.682928,-26.40244
1485644719993,22.439024,27.134148,-26.95122
1485644719998,22.37805,28.04878,-27.37805
1485644720003,21.707317,29.207317,-27.439026
1485644720009,21.09756,30,-27.195122
1485644720013,21.341463,30.54878,-26.82927
1485644720019,22.012196,31.768293,-26.40244
1485644720023,22.865854,33.65854,-25.54878
1485644720029,23.59756,35.365856,-24.268293
1485644720037,21.890244,35.060978,-22.804878
1485644720038,16.95122,31.768293,-22.012196
1485644720045,11.097561,28.414635,-20.54878
1485644720048,9.878049,25.97561,-20.487804
1485644720054,11.585366,27.865854,-20
1485644720059,17.439024,32.317074,-17.92683
1485644720064,23.536587,37.80488,-15.914635
1485644720069,27.439026,42.80488,-14.634147
1485644720073,30.731709,45.792683,-12.743903
1485644720079,33.292683,46.341465,-10.914635
1485644720083,35.609756,46.15854,-9.512196
1485644720089,37.439026,47.5,-8.719512
1485644720094,38.65854,49.69512,-8.231708
1485644720098,38.841465,49.817074,-7.256098
1485644720104,37.92683,48.65854,-6.2195125
1485644720108,36.036587,47.073174,-5.487805
1485644720114,32.80488,45.365856,-4.9390244
1485644720119,28.90244,43.780487,-4.512195
1485644720124,25.853659,41.52439,-4.3292685
1485644720132,23.47561,39.512196,-3.9634147
1485644720135,20.853659,37.5,-4.085366
1485644720139,20.243902,35.85366,-4.4512196
1485644720143,20.609756,36.341465,-4.8170733
1485644720149,19.573172,37.317074,-5.121951
1485644720154,21.40244,36.036587,-5.121951
1485644720160,23.841463,35.30488,-5.304878
1485644720164,24.695122,34.817074,-5.304878
1485644720170,24.390244,33.841465,-5.182927
1485644720174,25,32.317074,-5
1485644720182,26.40244,31.09756,-4.8170733
1485644720184,26.707317,30,-4.8170733
1485644720190,25.792683,28.536587,-5.2439027
1485644720195,24.207317,26.40244,-5.792683
1485644720199,22.317074,23.414635,-6.9512196
1485644720205,19.512196,19.695122,-8.170732
1485644720209,15.54878,16.280489,-9.268292
1485644720214,11.402439,13.231708,-10.182927
1485644720220,7.5,9.573171,-11.341464
1485644720224,3.8414636,6.585366,-12.865854
1485644720230,0.24390244,3.7804878,-14.268293
1485644720234,-2.804878,1.402439,-14.939025
1485644720240,-5.182927,-0.36585367,-15.304878
1485644720245,-7.4390244,-1.7682927,-16.036585
1485644720249,-9.329268,-3.2317073,-17.134148
1485644720255,-10.609756,-4.4512196,-18.414635
1485644720259,-11.52439,-5.365854,-20.54878
1485644720265,-12.012196,-6.0365853,-23.231709
1485644720271,-12.134147,-6.4634147,-26.036587
1485644720275,-11.768293,-6.8292685,-28.780489
1485644720280,-10.853659,-6.646342,-31.40244
1485644720284,-10,-6.2195125,-31.95122
1485644720290,-8.841464,-5,-28.658537
1485644720294,-6.4634147,-3.0487804,-21.463415
1485644720300,-3.2317073,-1.097561,-13.231708
1485644720305,0.24390244,0.4878049,-6.9512196
1485644720310,4.5731707,1.9512196,-0.85365856
1485644720315,9.3902445,4.512195,6.3414636
1485644720319,14.02439,7.012195,14.146341
1485644720328,18.170732,9.512196,18.90244
1485644720330,20.97561,12.378049,20.914635
1485644720337,23.90244,14.939025,22.134148
1485644720340,27.012196,18.780489,21.82927
1485644720346,30.609756,23.353659,20.304878
1485644720350,35.243904,28.59756,18.59756
1485644720356,41.09756,35.060978,16.09756
1485644720360,47.682926,42.560978,10.853659
1485644720365,53.59756,50.121952,7.7439027
1485644720371,57.92683,56.09756,2.5
1485644720375,60.42683,59.87805,-3.0487804
1485644720381,61.52439,61.52439,-9.45122
1485644720385,62.92683,60.975613,-16.158537
1485644720391,63.65854,56.463417,-21.463415
1485644720395,51.646343,47.621952,-25.54878
1485644720400,31.82927,35.73171,-29.939026
1485644720406,12.743903,24.024391,-36.036587
1485644720410,-6.4634147,12.926829,-41.280487
1485644720416,-22.134148,1.6463414,-46.280487
1485644720420,-35.97561,-8.04878,-51.28049
1485644720426,-47.317074,-16.40244,-56.219513
1485644720431,-54.817074,-20.42683,-60.060978
1485644720435,-63.109756,-22.317074,-64.14634
1485644720441,-70.85366,-23.963415,-67.07317
1485644720445,-76.95122,-24.87805,-69.57317
1485644720451,-80.060974,-25.731709,-71.21951
1485644720455,-77.98781,-27.073172,-72.80488
1485644720461,-71.768295,-21.219513,-74.939026
1485644720466,-64.32927,-13.780488,-75.914635
1485644720473,-55.548782,-5.609756,-76.097565
1485644720476,-45.914635,2.804878,-76.46342
1485644720480,-34.45122,11.463415,-76.95122
1485644720486,-22.256098,20.853659,-76.82927
1485644720491,-10.243902,29.695122,-77.0122
1485644720496,-0.30487806,37.682926,-76.28049
1485644720501,8.414635,45.30488,-74.20732
1485644720505,18.353659,54.7561,-71.768295
1485644720511,26.40244,63.414635,-66.585365
1485644720516,34.32927,70.67073,-59.817074
1485644720523,40.548782,76.34147,-53.170734
1485644720526,45.121952,81.21951,-48.35366
1485644720532,47.682926,84.02439,-44.268295
1485644720536,48.90244,86.46342,-42.987804
1485644720540,49.085365,87.5,-43.780487
1485644720546,49.02439,87.256096,-48.170734
1485644720551,47.682926,86.21951,-50.243904
1485644720557,46.707317,86.34147,-47.682926
1485644720561,45.548782,86.585365,-31.524391
1485644720567,43.65854,86.34147,-11.8902445
1485644720571,42.5,87.743904,-0.73170733
1485644720576,42.073174,89.81708,8.597561
1485644720581,42.19512,92.439026,11.52439
1485644720586,42.743904,95.67073,12.195122
1485644720592,43.841465,98.90244,10.426829
1485644720596,45.914635,101.585365,5.365854
1485644720602,47.621952,104.5122,-11.097561
1485644720606,49.512196,106.40244,-33.47561
1485644720612,51.40244,107.439026,-57.560978
1485644720617,53.23171,107.621956,-82.560974
1485644720621,55.548782,106.70732,-105.18293
1485644720628,58.414635,101.34147,-120
1485644720631,58.963417,92.2561,-128.59756
1485644720637,59.32927,80.60976,-135.67073
1485644720642,63.048782,71.64634,-143.2317
1485644720647,69.39024,62.98781,-150.54878
1485644720652,73.90244,69.085365,-154.81708
1485644720656,75.67073,105.121956,-159.7561
1485644720662,80.60976,130.91464,-160.48781
1485644720666,81.585365,135.97562,-162.07318
1485644720672,76.64635,132.92683,-162.68294
1485644720677,72.86585,118.04878,-161.7683
1485644720683,67.19512,94.451225,-162.07318
1485644720687,53.109756,74.69512,-162.68294
1485644720691,38.048782,59.207317,-160.7317
1485644720697,18.841463,40.182926,-163.17073
1485644720702,-8.963415,27.621952,-163.10976
1485644720707,-33.963417,19.817074,-157.37805
1485644720712,-51.768295,11.95122,-153.47562
1485644720718,-64.085365,10.304878,-145
1485644720722,-69.756096,16.09756,-136.64635
1485644720726,-69.5122,24.45122,-125.426834
1485644720732,-65.48781,32.682926,-110.36586
1485644720737,-61.219513,41.219513,-96.585365
1485644720743,-61.707317,51.219513,-87.5
1485644720747,-58.65854,61.463417,-77.07317
1485644720753,-57.19512,66.15854,-60.85366
1485644720759,-51.95122,67.5,-46.09756
1485644720762,-46.036587,68.90244,-33.414635
1485644720767,-40.670734,72.5,-19.390244
1485644720772,-36.15854,75.85366,-6.7073174
1485644720778,-30,76.64635,4.2073174
1485644720782,-26.219513,80.426834,11.219512
1485644720788,-19.32927,85.79269,0.06097561
1485644720792,-9.939025,85.60976,-16.646341
1485644720797,2.5,85.73171,-17.073172
1485644720803,12.743903,90.30488,-5.670732
1485644720807,24.512196,93.53659,5.182927
1485644720814,34.634148,93.17073,11.219512
1485644720817,47.317074,88.53659,15.853659
